Model Name,Number of Features,Features Used,R2 Score,Mean Square Error,Mean Absolute Error,Mean Square Log Error,ranking
Random Forest Regression,3,"['drying_temperature', 'ambient_temperature', 'relative_humidity']",-0.08312493524866227,0.003973688222369317,0.05393679290171581,0.003093320745329525,47.0
Multi Perception Neural Network,3,"['drying_temperature', 'ambient_temperature', 'relative_humidity']",-0.023778058137695623,0.0037559608125981563,0.05302532788517831,0.002926778735676266,42.0
Linear Regression,3,"['drying_time', 'ambient_temperature', 'relative_humidity']",0.00016982672436638424,0.003668102593356638,0.05260580899240527,0.002859104548839197,7.0
Support Vector Regression,3,"['drying_time', 'ambient_temperature', 'relative_humidity']",0.0001805587738712422,0.0036680632204114387,0.052618753581395616,0.0028579754924262166,6.0
Decision Tree Regression,3,"['drying_time', 'ambient_temperature', 'relative_humidity']",-1.0703564528253326,0.007595569804520851,0.07141212454375134,0.005908714471456499,75.0
Random Forest Regression,3,"['drying_time', 'ambient_temperature', 'relative_humidity']",-0.09195889289630954,0.00400609758930288,0.05431828259597346,0.0031202602292673093,49.0
Multi Perception Neural Network,3,"['drying_time', 'ambient_temperature', 'relative_humidity']",-0.02570808562499738,0.0037630415539286837,0.05308624839356008,0.002941159856100578,43.0
Linear Regression,4,"['drying_temperature', 'drying_time', 'ambient_temperature', 'relative_humidity']",0.00010671971053033413,0.0036683341156764264,0.05260392643554742,0.002859286039331757,13.0
Support Vector Regression,4,"['drying_temperature', 'drying_time', 'ambient_temperature', 'relative_humidity']",-0.0012223098175647706,0.003673209960383815,0.05265417506645557,0.0028621859840831715,30.0
Decision Tree Regression,4,"['drying_temperature', 'drying_time', 'ambient_temperature', 'relative_humidity']",-1.0147455440727096,0.007391548637659966,0.07030968172609114,0.00575504512479712,71.0
Random Forest Regression,4,"['drying_temperature', 'drying_time', 'ambient_temperature', 'relative_humidity']",-0.0555187326774893,0.003872408639145405,0.053627337336896015,0.0030159612994916664,46.0
Multi Perception Neural Network,4,"['drying_temperature', 'drying_time', 'ambient_temperature', 'relative_humidity']",-0.043764909533656304,0.003829287086797671,0.05335230886471298,0.0029835298873907767,45.0
